----------  Fri  8 May 98, hpt v0.19
1 07.25.16  Start
6 07.25.45  pkt: /home/mtt/fido/in.sec/15357778.pkt
----------  Fri  8 May 98, hpt v0.19
1 07.30.06  Start
1 07.30.06  End

----------  Fri  8 May 98, hpt v0.19
1 07.30.07  Start
6 07.30.07  pkt: /home/mtt/fido/in.sec/15357778.pkt
6 07.30.07  pkt: /home/mtt/fido/in.sec/153594b7.pkt
6 07.30.10  pkt: /home/mtt/fido/in.sec/1535a660.pkt
6 07.30.10  pkt: /home/mtt/fido/in.sec/15390382.pkt
6 07.30.12  pkt: /home/mtt/fido/in.sec/153a2d57.pkt
6 07.30.12  pkt: /home/mtt/fido/in.sec/153ad47e.pkt
1 07.30.12  End

----------  Tue 12 May 98, hpt v0.19
1 13.51.02  Start
9 13.51.05  Could not open /home/mtt/fido/msgb/dolphin/point
9 13.51.05  Could not open /home/mtt/fido/msgb/dolphin/announce
1 13.51.15  End

----------  Tue 12 May 98, hpt v0.19
1 13.59.10  Start
6 13.59.10  pkt: /home/mtt/fido/in.sec/153b80f7.pkt
7 13.59.10  Tossed Netmail: 2:2432/601.0 -> 2:2432/601.29
6 13.59.10  pkt: /home/mtt/fido/in.sec/1542c484.pkt
6 13.59.12  pkt: /home/mtt/fido/in.sec/15430ae8.pkt
6 13.59.12  pkt: /home/mtt/fido/in.sec/15463360.pkt
6 13.59.13  pkt: /home/mtt/fido/in.sec/154803b1.pkt
6 13.59.13  pkt: /home/mtt/fido/in.sec/154bd1d6.pkt
6 13.59.13  pkt: /home/mtt/fido/in.sec/154e6a79.pkt
6 13.59.13  pkt: /home/mtt/fido/in.sec/154ff041.pkt
6 13.59.13  pkt: /home/mtt/fido/in.sec/155360fd.pkt
6 13.59.15  pkt: /home/mtt/fido/in.sec/155498ee.pkt
6 13.59.15  pkt: /home/mtt/fido/in.sec/15553262.pkt
6 13.59.15  pkt: /home/mtt/fido/in.sec/15590137.pkt
6 13.59.15  pkt: /home/mtt/fido/in.sec/155d2316.pkt
6 13.59.15  pkt: /home/mtt/fido/in.sec/156094fb.pkt
6 13.59.17  pkt: /home/mtt/fido/in.sec/1562649e.pkt
6 13.59.17  pkt: /home/mtt/fido/in.sec/156a4cba.pkt
6 13.59.17  pkt: /home/mtt/fido/in.sec/156a5510.pkt
6 13.59.18  pkt: /home/mtt/fido/in.sec/156dbf80.pkt
6 13.59.18  pkt: /home/mtt/fido/in.sec/156f0fee.pkt
6 13.59.18  pkt: /home/mtt/fido/in.sec/156f91ce.pkt
1 13.59.19  End

----------  Wed 13 May 98, hpt v0.19
1 14.37.56  Start
